epoch,loss
1,0.8708189610885617
2,0.7873813075307647
3,0.7203591219875429
4,0.6818395865869699
5,0.6319794907474362
6,0.7623728033257944
7,0.7212373629336291
8,0.650929887145186
9,0.6792509190170468
10,0.6118241043710729
11,0.5876307161265978
12,0.5630149388468143
13,0.5407415794022338
14,0.5468381210454789
15,0.5450241817841152
16,0.5367683406712396
17,0.5326109075493598
18,0.513609942921188
19,0.5338972478663471
20,0.5356540511520993
21,0.5290808050498603
22,0.5922313108529211
23,1.0020076256888442
24,0.5166929287148976
25,0.5152435027822536
26,0.566442497190908
27,0.5840584051973849
28,0.4817643957282237
29,0.524821950219814
30,0.5149611548669837
31,0.4620451176503578
32,0.4452496093585401
33,0.4348848018623504
34,0.4324654565039842
35,0.44669064278671017
36,0.4806711453290214
37,0.47539282895462864
38,0.46737197009378056
39,0.42487912504609937
40,0.4237874614148828
41,0.4192530213673542
42,0.4294962795567732
43,0.4805565350818062
44,0.462537024067841
45,0.4018993131885369
46,0.5436642681612069
47,0.467110282864016
48,0.44452980245388746
49,0.4178651013440934
50,0.4016039418565311
51,0.3909676152591578
52,0.38525379177060515
53,0.39219012134692915
54,0.398060580023595
55,0.38991381620158155
56,0.37785370882272024
57,0.38698523013495856
58,0.3912187343438459
59,0.3751325569752496
60,0.36683018249782384
61,0.36480525423563986
62,0.40499464629233806
63,0.3800026801180064
64,0.3746911534101167
65,0.35693442992544133
66,0.34967031491047645
67,0.3716486659930442
68,0.3546328202641182
69,0.3487391897403412
70,0.39990569175820795
71,0.4474188587223713
72,0.39051189813138737
73,0.3505333453806216
74,0.3454936721589163
75,0.4312644089682565
76,0.3809177999340969
77,0.34652542788721347
78,0.33427449494386036
79,0.32671303064663626
80,0.319828008967882
81,0.32022837321703906
82,0.48597863492509213
83,0.3755666255888577
84,0.3466968820707048
85,0.325377763577371
86,0.3164211274736809
87,0.3528484204209089
88,0.34142504975963783
89,0.4068903143682479
90,0.34574640839755805
91,0.3018493303374328
92,0.36961847906685447
93,0.330547167839602
94,0.315937557850163
95,0.4341425875173655
96,0.41160227514196657
97,0.3310210765920838
98,0.3129125578921033
99,0.3058209301661474
100,0.31759737125870935
