epoch,loss
1,2.6544380413946875
2,2.5695752843371125
3,2.5375358559471723
4,2.511250497162635
5,2.4922422528022263
6,2.4652621307636946
7,2.4412143091973415
8,2.395004655278995
9,2.3798792704031837
10,2.377101169049722
11,2.342701723347582
12,2.3125142595375925
13,2.304135452377415
14,2.2842415146067663
15,2.2905491840751746
16,2.240003318432683
17,2.228863754116657
18,2.215634218821295
19,2.197377433697171
20,2.1659506965495754
21,2.1485211030087976
22,2.153584455741962
23,2.1535134428800897
24,2.184532600061646
25,2.1095083703954307
26,2.0787872172526187
27,2.0453734610609824
28,2.0275112642045956
29,2.029996600492821
30,1.99854497872254
